SDM,linear300,linear20,poly300,poly20,constant300,constant20
0.1711111111111111,0.04888888888888889,0.09111111111111111,0.031111111111111107,0.11777777777777779,0.1111111111111111,0.07
0.005,0.0016666666666666668,0.006666666666666667,0.0033333333333333335,0.011666666666666667,0.013333333333333334,0.006666666666666667
0.014285714285714287,0.0071428571428571435,0.009999999999999998,0.005714285714285714,0.015714285714285715,0.008571428571428572,0.008571428571428572
0.0016666666666666668,0.005,0.0033333333333333335,0.0,0.013333333333333334,0.0033333333333333335,0.006666666666666667
0.011428571428571429,0.015714285714285715,0.012857142857142857,0.005714285714285714,0.012857142857142857,0.012857142857142857,0.011428571428571429
0.00625,0.01125,0.00625,0.01,0.0025,0.01625,0.012499999999999999
0.0275,0.0325,0.018750000000000003,0.01875,0.02875,0.03875000000000001,0.025
0.006666666666666667,0.0022222222222222222,0.005185185185185185,0.0022222222222222222,0.003333333333333333,0.011111111111111112,0.005555555555555556
0.01375,0.01125,0.01625,0.01875,0.013750000000000002,0.02375,0.0125
0.01125,0.036250000000000004,0.02125,0.03375,0.026250000000000002,0.013750000000000002,0.025
0.0025,0.005,0.0025,0.005,0.00625,0.01125,0.00875
0.03375,0.04625,0.043750000000000004,0.02875,0.05125,0.07375000000000001,0.058750000000000004
0.0044444444444444444,0.016666666666666666,0.003333333333333333,0.012222222222222223,0.013333333333333332,0.018888888888888886,0.011111111111111112
0.05777777777777778,0.09999999999999999,0.13296296296296295,0.0811111111111111,0.09666666666666666,0.11666666666666667,0.09444444444444444
0.04555555555555556,0.007777777777777778,0.01666666666666667,0.015555555555555557,0.014444444444444446,0.02,0.017777777777777778
0.02888888888888889,0.026666666666666665,0.03222222222222222,0.024444444444444446,0.022222222222222223,0.05777777777777778,0.01666666666666667
0.060000000000000005,0.13333333333333333,0.06222222222222223,0.16333333333333333,0.06666666666666667,0.023333333333333334,0.04111111111111111
0.01,0.03888888888888889,0.025185185185185185,0.07222222222222223,0.034444444444444444,0.021111111111111112,0.04555555555555556
0.06333333333333334,0.1,0.10888888888888888,0.07777777777777778,0.1,0.09222222222222223,0.11888888888888889
0.06777777777777777,0.1388888888888889,0.12481481481481481,0.16777777777777778,0.08888888888888889,0.1322222222222222,0.15777777777777777
0.37555555555555553,0.23777777777777778,0.27629629629629626,0.23888888888888887,0.2888888888888889,0.21000000000000002,0.27
